record_id,redacted_data_json,is_pii
1,"{""customer_id"": ""[REDACTED]"", ""phone"": ""98XXXXXX10"", ""order_value"": 1299}",TRUE
2,"{""name"": ""RXXX KXXX"", ""email"": ""raXXX@eXXX.com"", ""city"": ""Mumbai""}",TRUE
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",FALSE
4,"{""aadhar"": ""1234XXXX9012"", ""transaction_type"": ""purchase""}",TRUE
5,"{""email"": ""standalone@email.com"", ""product_id"": ""PROD123""}",FALSE
6,"{""name"": ""AXXX SXXX"", ""address"": ""[REDACTED]"", ""ip_address"": ""[REDACTED]""}",TRUE
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",FALSE
8,"{""upi_id"": ""usXXX@paXXX"", ""amount"": 500}",TRUE
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}",FALSE
10,"{""passport"": ""PXXXXXX7"", ""booking_reference"": ""BK123""}",TRUE
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",FALSE
12,"{""name"": ""SXXX PXXX"", ""email"": ""snXXX@gXXX.com"", ""device_id"": ""MOB123456""}",TRUE
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",FALSE
14,"{""phone"": ""87XXXXXX09"", ""order_date"": ""2024-01-15""}",TRUE
15,"{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}",FALSE
16,"{""name"": ""VXXX RXXX"", ""address"": ""[REDACTED]"", ""email"": ""viXXX@cXXX.com""}",TRUE
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}",FALSE
18,"{""aadhar"": ""9876XXXX1098"", ""verification_status"": ""verified""}",TRUE
19,"{""email"": ""customer@service.com"", ""query_type"": ""refund""}",FALSE
20,"{""upi_id"": ""91XXX@ybXXX"", ""merchant"": ""Flipkart""}",TRUE
21,"{""product_description"": ""Samsung Galaxy S23"", ""price"": 65000}",FALSE
22,"{""name"": ""DXXX AXXX"", ""phone"": ""78XXXXXX56"", ""email"": ""deXXX@eXXX.com""}",TRUE
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}",FALSE
24,"{""passport"": ""MXXXXXX3"", ""travel_date"": ""2024-03-15""}",TRUE
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}",FALSE
26,"{""name"": ""RXXX GXXX"", ""address"": ""[REDACTED]"", ""ip_address"": ""[REDACTED]""}",TRUE
27,"{""order_type"": ""Express"", ""shipping_method"": ""same_day""}",FALSE
28,"{""phone"": ""67XXXXXX45"", ""sms_consent"": true}",TRUE
29,"{""username"": ""techguru"", ""last_login"": ""2024-01-20""}",FALSE
30,"{""aadhar"": ""4567XXXX3045"", ""kyc_status"": ""[REDACTED]""}",TRUE
31,"{""category"": ""Books"", ""author"": ""Chetan Bhagat""}",FALSE
32,"{""name"": ""MXXX JXXX"", ""email"": ""meXXX@wXXX.com"", ""device_type"": ""Android""}",TRUE
33,"{""session_id"": ""SESS789123"", ""duration"": ""45 minutes""}",FALSE
34,"{""upi_id"": ""meXXX@okXXX"", ""payment_method"": ""UPI""}",TRUE
35,"{""region"": ""North India"", ""warehouse_code"": ""WH001""}",FALSE
36,"{""name"": ""AXXX MXXX"", ""address"": ""[REDACTED]"", ""phone"": ""90XXXXXX78""}",TRUE
37,"{""subscription_type"": ""Premium"", ""renewal_date"": ""2024-06-15""}",FALSE
38,"{""passport"": ""LXXXXXX1"", ""country"": ""India""}",TRUE
39,"{""first_name"": ""Kavya"", ""gender"": ""Female"", ""age_group"": ""25-35""}",FALSE
40,"{""aadhar"": ""2345XXXX0123"", ""bank_verification"": ""success""}",TRUE
41,"{""brand"": ""Nike"", ""model"": ""Air Max"", ""size"": ""9""}",FALSE
42,"{""name"": ""SXXX NXXX"", ""email"": ""siXXX@tXXX.com"", ""ip_address"": ""[REDACTED]""}",TRUE
43,"{""currency"": ""INR"", ""exchange_rate"": 83.25}",FALSE
44,"{""phone"": ""89XXXXXX67"", ""notification_preference"": ""SMS""}",TRUE
45,"{""product_rating"": 4.5, ""review_count"": 150}",FALSE
46,"{""upi_id"": ""faXXX@ibXXX"", ""family_size"": 4}",TRUE
47,"{""zip_code"": ""560001"", ""delivery_zone"": ""Zone_A""}",FALSE
48,"{""name"": ""PXXX DXXX"", ""address"": ""[REDACTED]"", ""email"": ""poXXX@eXXXl.in""}",TRUE
49,"{""app_name"": ""Flipkart"", ""version"": ""8.21.0""}",FALSE
50,"{""passport"": ""KXXXXXX2"", ""issue_date"": ""2020-05-10""}",TRUE
